"region","stockid","name","area","prey1","prey_stocks_primary","prey1_prop","prey_impt","prey_stocks_add","prey_impt_prop","reference","n_units","dietid","nrefs","refs","metrics"
"Europe","ARCTERFOULA","Arctic tern (Sterna paradisaea)","Shetland Islands","Lesser sand-eel","SANDEELSA7",1,"Lesser sand-eel, Lesser sand-eel",NA,1.75,"JNCC Data","occupied territory","Arctic tern Europe",2,"Furness (1983, 1989) in Furness 1990; Ewins 1985a in Furness 1990, Furness and Tasker 2000 Table 2","unknown, weight"
"Europe","APUFFHERNYKEN","Atlantic puffin (Fratercula arctica)","Norwegian Sea","Herring","ATLHERRROST",0.56,"Herring",NA,0.56,"Anker-Nilssen and Aarvak 2006","apparently occupied burrows","Atlantic puffin Norwegian Sea",1,"Cury et al. (2011)","occurence"
"Europe","COMGUISHETALL","Common guillemot (Uria aalge)","Shetland Islands","European sprat","SPRATNS",0.6865,"European sprat, Lesser sand-eel, Sandeel spp.","SANDEELSA7",1.59248888888889,"Dunnet and Heubeck 1995 Figure 8","index relative to 1978","Common guillemot Europe",10,"Anker-Nilssen 2010 Figure 3, Wanless et al 2005 Table 1, Wanless et al 2005 Table 1; Table 2, Blake et al 1985 in Furness 1990, Furness (1983, 1989) in Furness 1990, Rindorf et al 2000 Figure 6, Tasker et al 1987 in Furness 1990, Wanless et al 2005 Table 1, Wanless et al 2005 Table 1; Table 2, Anker-Nilssen 2010 Figure 3","count, occurence, weight"
"Humboldt Current","GUACORPERU","Guanay cormorant (Phalacrocorax bougainvillii)","Peru","Peruvian anchoveta","PANCHPERUNC",0.695828571428571,"Peruvian anchoveta, Peruvian anchoveta",NA,1.03082857142857,"IMARPE.Renato","number of adults","Guanay cormorant Humboldt",5,"Zavalaga and Paredes 1999 Table 1, Boyd 2012 pdf p 188 Table A.5.1, Jahncke and Goya 1997 in Goya 2000 Tabla 1, Jordan 1959 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p230 Figure 1, Jordan 1967 and Avila 1954 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1","count, unknown"
"Humboldt Current","PERBOOPERU614S","Peruvian booby (Sula variegata)","Peru","Peruvian anchoveta","PANCHPERUNC",0.795671428571429,"Peruvian anchoveta",NA,0.795671428571429,"Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 4","number of adults","Peruvian booby Humboldt",4,"Boyd 2012 pdf p 188 Table A.5.1, Jahncke and Goya 1997 in Goya 2000 Tabla 2, Jordan 1967 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1, Muck and Pauly in Pauly and Tsukayama 1987 pdf p230 Figure 2","unknown"
"Humboldt Current","PERBOOPERU","Peruvian booby (Sula variegata)","Peru","Peruvian anchoveta","PANCHPERUNC",0.795671428571429,"Peruvian anchoveta",NA,0.795671428571429,"IMARPE.Renato","number of adults","Peruvian booby Humboldt",4,"Boyd 2012 pdf p 188 Table A.5.1, Jahncke and Goya 1997 in Goya 2000 Tabla 2, Jordan 1967 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1, Muck and Pauly in Pauly and Tsukayama 1987 pdf p230 Figure 2","unknown"
"Humboldt Current","PERPELPERU614S","Peruvian pelican (Pelecanus thagus)","Peru","Peruvian anchoveta","PANCHPERUNC",0.8,"Peruvian anchoveta",NA,0.8,"Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 5","number of adults","Peruvian pelican Humboldt",1,"Jordan 1967 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1","unknown"
"Humboldt Current","PERPELPERU","Peruvian pelican (Pelecanus thagus)","Peru","Peruvian anchoveta","PANCHPERUNC",0.8,"Peruvian anchoveta",NA,0.8,"IMARPE.Renato","number of adults","Peruvian pelican Humboldt",1,"Jordan 1967 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1","unknown"
"South Africa","AFPENWCAPE","African penguin (Spheniscus demersus)","Benguela Current","Sardine/anchovy","SARDSA",0.86,"Sardine/anchovy",NA,0.86,"Crawford et al 2008","pairs","African penguin Benguela Current",1,"Cury et al. (2011)","occurence"
"South Africa","CGANNETWCAPE","Cape gannet (Morus capensis)","Benguela Current","Sardine/anchovy","SARDSA",0.61,"Sardine/anchovy",NA,0.61,"Crawford et al 2008","pairs","Cape gannet Benguela Current",1,"Cury et al. (2011)","occurence"
