"type","class","order","family","genus","species","species_sub","comm_name"
"birds","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Pandion haliaetus","Osprey"
"birds","Aves","Charadriiformes","Alcidae","Cerorhinca","Cerorhinca monocerata","Cerorhinca monocerata","Rhinoceros auklet"
"birds","Aves","Charadriiformes","Alcidae","Synthliboramphus","Synthliboramphus hypoleucus","Synthliboramphus hypoleucus","Xantus's murrellet"
"birds","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Uria aalge","Common guillemot"
"birds","Aves","Ciconiiformes","Gaviidae","Gavia","Gavia arctica","Gavia arctica","Arctic loon"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus californicus","Larus californicus","California gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus canus","Larus canus","Mew gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus glaucescens","Larus glaucescens","Glaucous-winged gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus heermanni","Larus heermanni","Heermann gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus occidentalis","Larus occidentalis","Western gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus philadelphia","Larus philadelphia","Bonaparte's gull"
"birds","Aves","Ciconiiformes","Laridae","Rissa","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake"
"birds","Aves","Ciconiiformes","Laridae","Thalasseus","Thalasseus elegans","Thalasseus elegans","Elegant tern"
"birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus","Pelecanus occidentalis","Pelecanus occidentalis","Brown pelican"
"birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus","Pelecanus occidentalis","Pelecanus occidentalis californicus","California brown pelican"
"birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax penicillatus","Phalacrocorax penicillatus","Brandt cormorant"
"birds","Aves","Ciconiiformes","Procellariidae","Fulmarus","Fulmarus glacialis","Fulmarus glacialis","Northern fulmar"
"birds","Aves","Ciconiiformes","Procellariidae","Puffinus","Puffinus creatopus","Puffinus creatopus","Pink-footed shearwater"
"birds","Aves","Ciconiiformes","Procellariidae","Puffinus","Puffinus opisthomelas","Puffinus opisthomelas","Black-vented shearwater"
"birds","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna grisea","Ardenna grisea","Sooty shearwater"
"birds","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna tenuirostris","Ardenna tenuirostris","Short-tailed shearwater"
"fish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","Cololabis saira","Pacific saury"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","Brevoortia patronus","Gulf menhaden"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","Brevoortia tyrannus","Atlantic menhaden"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Atlantic herring"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Clupea pallasii pallasii","Pacific herring"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardinops sagax caerulea","Pacific sardine"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Engraulis mordax","Northern anchovy"
"fish","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod"
"fish","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock"
"fish","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","Merluccius albidus","Offshore hake"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","Merluccius bilinearis","Silver hake"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Merluccius productus","Pacific hake"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis chuss","Urophycis chuss","Red hake"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis regia","Urophycis regia","Spotted hake"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","Urophycis tenuis","White hake"
"fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius americanus","Lophius americanus","Goosefish"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus symmetricus","Trachurus symmetricus","Jack mackerel"
"fish","Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe perciformis","Hyperoglyphe perciformis","Barrelfish"
