sort_cmf,sort_orig,ecoregion,country,island group,location,pred_common,pred_scientific,category of predator,unit of category of predator,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,1996,1996,2775,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,1997,1997,2359,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,1998,1998,2091,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,1999,1999,2218,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2000,2000,1934,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2002,2002,1298,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2003,2003,1081,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2004,2004,942,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2005,2005,898,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2006,2006,1035,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2007,2007,997,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,2009,2009,509,occupied nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1969,1969,3100.076,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 3,1971,1971,3471.3542,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 5,1973,1973,3473.625,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1974,1974,3068.852,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1975,1975,3900.3062,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1976,1976,3403.1782,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1979,1979,4974.866,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1981,1981,6139.407,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1983,1983,4720.9995,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1984,1984,6032.0596,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1985,1985,5516.5845,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1986,1986,4816.657,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1987,1987,6791.88,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1988,1988,7660.1826,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1989,1989,7569.0146,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1990,1990,8160.562,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1991,1991,6574.8623,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1992,1992,6945.0566,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1993,1993,7019.942,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1994,1994,3792.4165,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1995,1995,7631.075,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1996,1996,6303.732,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1997,1997,6563.224,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1998,1998,4368.8164,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,1999,1999,4222.349,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,2000,2000,4666.2935,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,2001,2001,3689.4556,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Frederiksen et al 2004 Figure 1,2002,2002,3709.1448,completed nests,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1986,1986,4709.3022,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1987,1987,6697.6743,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1988,1988,7604.6514,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1989,1989,7569.7676,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1990,1990,8127.9067,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1991,1991,6488.372,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1992,1992,6906.9766,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1993,1993,6976.744,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1994,1994,3767.442,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1995,1995,7604.6514,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1996,1996,6244.186,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1997,1997,6523.256,population size,,,,,,,
,,North Sea,Isle of May,,,Black-legged kittiwake,Rissa tridactyla,,,,,Rindorf et al 2000 Figure 5,1998,1998,4290.6978,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1986,1986,13571.429,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1987,1987,11596.639,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1988,1988,11134.454,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1989,1989,12647.059,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1990,1990,12605.042,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1991,1991,11302.521,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1992,1992,11428.571,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1993,1993,12352.941,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1994,1994,13781.513,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1995,1995,15294.117,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1996,1996,14453.781,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1997,1997,17100.84,population size,,,,,,,
,,North Sea,Isle of May,,,Common guillemot,Uria aalge,,,,,Rindorf et al 2000 Figure 5,1998,1998,17352.941,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1986,1986,1292.181,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1987,1987,1893.0042,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1988,1988,1267.4897,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1989,1989,1695.4733,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1990,1990,1374.4856,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1991,1991,1481.4814,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1992,1992,1613.1687,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1993,1993,707.8189,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1994,1994,395.06174,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1995,1995,502.05762,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1996,1996,518.5185,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1997,1997,502.05762,population size,,,,,,,
,,North Sea,Isle of May,,,European shag,Phalacrocorax aristotelis,,,,,Rindorf et al 2000 Figure 5,1998,1998,617.28394,population size,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1988,1988,0.97894734,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1989,1989,1.1178948,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1990,1990,1.03,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1991,1991,0.87789476,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1992,1992,1.0831579,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1993,1993,1.0736842,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1994,1994,0.99473685,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1995,1995,1.2347368,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1996,1996,1.1273685,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1997,1997,1.1273685,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1998,1998,1.1652632,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,1999,1999,1.1305263,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2000,2000,0.46421054,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2001,2001,1.2378948,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2002,2002,1.0989474,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2003,2003,1.231579,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2004,2004,0.99157894,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2005,2005,1.0642105,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2006,2006,0.9031579,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2007,2007,1.0989474,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2008,2008,1.14,index relative to 1986,,,,,,,
,,North Sea,UK and Ireland,,,Razorbill,Alca torda,,,,,Cook et al 2014 Figure 5,2009,2009,0.9505263,index relative to 1986,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1968,1968,96.08753,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1968,1968,96.08753,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1969,1969,89.990326,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1969,1969,89.990326,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1970,1970,98.165764,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1970,1970,98.165764,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1971,1971,83.80606,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1971,1971,83.80606,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1972,1972,86.34741,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1972,1972,86.34741,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1973,1973,79.12368,nests with eggs,,,,,,,
,,North Sea,England,North Shields and Marsden,,Black-legged kittiwake,Rissa tridactyla,,,,,Coulston and Thomas 1985 Figure 3,1973,1973,79.12368,nests with eggs,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1976,1976,2126,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1977,1977,1883,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1978,1978,1914,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1979,1979,1746,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1980,1980,1840,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1981,1981,1704,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1982,1982,1613,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1983,1983,1548,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1984,1984,1384,max number of apparently occupied nests,,,,,,,
,,North Sea,Shetland,"Sumburgh, Troswick, Eshaness and Burravoe",,Black-legged kittiwake,Rissa tridactyla,,,,,Dunnet and Heubeck 1995 Table 7,1985,1985,1270,max number of apparently occupied nests,,,,,,,
