"source","dietid","pred_comm","region","prey_comm","nrefs","references","prop_wt","prop_n","prop_energy","prop_occur","prop_model","prop_unk","prop_use","prop_use_type"
"Hilborn et al. (2017)","Albacore tuna NE Pacific","Albacore tuna","NE Pacific","California market squid",1,"Pinkas et al. 1971",0.0025,0.009,NA,0.096,NA,NA,0.0025,"wt"
"Hilborn et al. (2017)","Albacore tuna NE Pacific","Albacore tuna","NE Pacific","Northern anchovy",5,"Bernard et al. 1985, Glaser 2010, Glaser 2011, Glaser et al. 2015, Pinkas et al. 1971",0.3575,0.154533333333333,0.270666666666667,0.342333333333333,NA,NA,0.3575,"wt"
"Hilborn et al. (2017)","Albacore tuna NE Pacific","Albacore tuna","NE Pacific","Pacific chub mackerel",1,"Pinkas et al. 1971",NA,0.001,NA,0.01,NA,NA,0.001,"n"
"Hilborn et al. (2017)","Albacore tuna NE Pacific","Albacore tuna","NE Pacific","Pacific hake",3,"Glaser 2010, Glaser et al. 2015, Pinkas et al. 1971",0.179333333333333,0.136,0.099,0.083,NA,NA,0.179333333333333,"wt"
"Hilborn et al. (2017)","Albacore tuna NE Pacific","Albacore tuna","NE Pacific","Pacific sardine",2,"Glaser 2010, Glaser et al. 2015",0.053,0.021,0.0335,0.267,NA,NA,0.053,"wt"
"Hilborn et al. (2017)","Albacore tuna NW Atlantic","Albacore tuna","NW Atlantic","Northern shortfin squid",2,"Logan et al. 2013, Tefferet 2015",0.5195,NA,NA,NA,NA,NA,0.5195,"wt"
"Hilborn et al. (2017)","Arctic loon NE Pacific","Arctic loon","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.727,NA,0.5,NA,NA,0.727,"n"
"Hilborn et al. (2017)","Arrowtooth flounder NE Pacific","Arrowtooth flounder","NE Pacific","Pacific hake",1,"Buckley et al. 1999",0.5989,0.1162,NA,0.1448,NA,NA,0.5989,"wt"
"Hilborn et al. (2017)","Atlantic bluefin tuna NW Atlantic","Atlantic bluefin tuna","NW Atlantic","Atlantic herring",3,"Chase 2002, Logan 2009, Logan et al. 2013",0.2944,NA,NA,NA,NA,NA,0.2944,"wt"
"Hilborn et al. (2017)","Atlantic bluefin tuna NW Atlantic","Atlantic bluefin tuna","NW Atlantic","Atlantic mackerel",2,"Chase 2002, Logan et al. 2013",0.1482,NA,NA,NA,NA,NA,0.1482,"wt"
"Hilborn et al. (2017)","Atlantic bluefin tuna NW Atlantic","Atlantic bluefin tuna","NW Atlantic","Atlantic menhaden",3,"Butler et al. 2010, Butler et al. 2014, Chase 2002",0.8149,NA,NA,NA,NA,NA,0.8149,"wt"
"Hilborn et al. (2017)","Atlantic bluefin tuna NW Atlantic","Atlantic bluefin tuna","NW Atlantic","Longfin inshore squid",3,"Butler et al. 2010, Eggleston and Bochenek 1990, Logan et al. 2013",0.01082,NA,NA,NA,NA,NA,0.01082,"wt"
"Hilborn et al. (2017)","Atlantic bluefin tuna NW Atlantic","Atlantic bluefin tuna","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Atlantic bottlenose dolphin NW Atlantic","Atlantic bottlenose dolphin","NW Atlantic","Atlantic menhaden",3,"Fox 2010, Gannon et al. 2004, Pate and Mc Fee 2012",0.04,0.025,NA,NA,NA,NA,0.04,"wt"
"Hilborn et al. (2017)","Atlantic cod NW Atlantic","Atlantic cod","NW Atlantic","Atlantic herring",2,"fishecology.org, Link and Garrison 2002",0.15,NA,NA,NA,NA,NA,0.15,"wt"
"Hilborn et al. (2017)","Atlantic cod NW Atlantic","Atlantic cod","NW Atlantic","Atlantic mackerel",1,"Overholtz et al. 1991",NA,0.115,NA,NA,NA,NA,0.115,"n"
