"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1971,20018,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1972,21917,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1973,14253,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1974,23697,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1975,15022,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1976,14248,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1977,21613,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1978,6760,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1979,18759,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1980,15490,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1981,17984,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1982,14299,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1983,4199,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1984,4435,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1985,8236,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1986,6333,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1987,8352,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1988,5023,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1989,11022,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1990,6446,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1991,10128,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1992,2998,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1993,4601,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1994,11728,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1995,10598,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1996,8042,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1997,7446,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1998,5128,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1999,6315,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2000,5898,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2001,6609,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2002,9400,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2003,11181,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2004,16704,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2005,11653,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2006,15572,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2007,20561,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2008,4817,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2009,1311,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2010,5052,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2011,4872,"breeding adults",NA,NA
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2012,3505,"breeding adults",NA,NA
