"type","class","order","family","genus","species","species_sub","comm_name"
"birds","Aves","Charadriiformes","Alcidae","Alca","Alca torda","Alca torda","Razorbill"
"birds","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna grisea","Ardenna grisea","Sooty shearwater"
"birds","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna tenuirostris","Ardenna tenuirostris","Short-tailed shearwater"
"birds","Aves","Charadriiformes","Alcidae","Cepphus","Cepphus grylle","Cepphus grylle","Black guillemot"
"birds","Aves","Charadriiformes","Alcidae","Cerorhinca","Cerorhinca monocerata","Cerorhinca monocerata","Rhinoceros auklet"
"birds","Aves","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula arctica","Atlantic puffin"
"birds","Aves","Ciconiiformes","Procellariidae","Fulmarus","Fulmarus glacialis","Fulmarus glacialis","Northern fulmar"
"birds","Aves","Ciconiiformes","Gaviidae","Gavia","Gavia arctica","Gavia arctica","Arctic loon"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus argentatus","Larus argentatus","European herring gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus californicus","Larus californicus","California gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus canus","Larus canus","Mew gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus glaucescens","Larus glaucescens","Glaucous-winged gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus heermanni","Larus heermanni","Heermann gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus marinus","Larus marinus","Great black-backed gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus occidentalis","Larus occidentalis","Western gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus philadelphia","Larus philadelphia","Bonaparte's gull"
"birds","Aves","Ciconiiformes","Sulidae","Morus","Morus bassanus","Morus bassanus","Northern gannet"
"birds","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Pandion haliaetus","Osprey"
"birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus","Pelecanus occidentalis","Pelecanus occidentalis","Brown pelican"
"birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus","Pelecanus occidentalis","Pelecanus occidentalis californicus","California brown pelican"
"birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus","Pelecanus thagus","Pelecanus thagus","Peruvian pelican"
"birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax aristotelis","Phalacrocorax aristotelis","European shag"
"birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax bougainvillii","Phalacrocorax bougainvillii","Guanay cormorant"
"birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax penicillatus","Phalacrocorax penicillatus","Brandt cormorant"
"birds","Aves","Ciconiiformes","Procellariidae","Puffinus","Puffinus creatopus","Puffinus creatopus","Pink-footed shearwater"
"birds","Aves","Ciconiiformes","Procellariidae","Puffinus","Puffinus opisthomelas","Puffinus opisthomelas","Black-vented shearwater"
