FF Common,FF Scientific,Predator Common,Predator Scientific,Season,Year,Abundance,Unit,Source,Study Location,Country,size of FF eaten (mm),age of FF eaten,% FF in diet,% Units,Notes
,,black leg kittiwake,Rissa tridactyla,,1998,2091,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1999,2218,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2000,1934,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2002,1298,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2003,1081,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2004,942,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2005,898,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2006,1035,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2007,997,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2009,509,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,atlantic puffin,,,1983,79680,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1984,68920,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1985,60560,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1986,53640,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1987,44240,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1988,43160,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1989,45760,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1990,55040,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1991,50120,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1992,52360,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1993,45760,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1994,46560,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1995,46680,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1996,41840,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1997,52480,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1998,43040,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,1999,41880,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,2000,41520,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,2001,37520,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,2002,31880,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,2003,33840,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,2004,35600,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,atlantic puffin,,,2005,36080,apparently occupied burrows,Anker-Nilssen and Aarvak 2006 Tabell 3.1,Hernyken,Norway,,,,,
,,black leg kittiwake,,,1979,24938,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1980,24079,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1981,20364,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1982,19342,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1983,16728,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1984,15788,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1988,17250,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1989,17575,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1990,19043,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1991,17001,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1992,16754,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1993,19773,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1994,18383,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1995,15035,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1996,14952,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1997,15073,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1998,13928,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,1999,16498,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,2000,15639,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,2001,14087,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,2002,12942,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,2003,12655,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,2004,11347,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
,,black leg kittiwake,,,2005,12284,occupied nests,Anker-Nilssen and Aarvak 2006,Vedoy,Norway,,,,,
sandeel,Ammodytes marinus,common guillemot,Uria aalge,,2004,,,"Wanless et al 2005 Table 1, size=Table 2",Isle of May,North Sea,36-165,,1.00,by mass (mean),
sandeel,Ammodytes marinus,common guillemot,Uria aalge,,2004,,,"Wanless et al 2005 Table 1, size=Table 2",Isle of May,North Sea,36-165,,1.60,by number (mean),
sandeel,Ammodytes marinus,common guillemot,Uria aalge,,1981-2003,,,"Wanless et al 2005 Table 1, size=Table 2",Isle of May,North Sea,36-165,,52.00,by mass (mean),
sandeel,Ammodytes marinus,common guillemot,Uria aalge,,1981-2003,,,"Wanless et al 2005 Table 1, size=Table 2",Isle of May,North Sea,36-165,,58.70,by number (mean),
sandeel,Ammodytes marinus,common guillemot,Uria aalge,,1981-2003,,,"Wanless et al 2005 Table 1, size=Table 2",Isle of May,North Sea,36-165,,40-65,by mass (95 CI),
sandeel,Ammodytes marinus,common guillemot,Uria aalge,,1981-2003,,,"Wanless et al 2005 Table 1, size=Table 2",Isle of May,North Sea,36-165,,47-71,by number (95 CI),
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1986,1292.181,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,87.15,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1987,1893.0042,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1988,1267.4897,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,99.65,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1989,1695.4733,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,20.49,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1990,1374.4856,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,2.08,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1991,1481.4814,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,43.06,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1992,1613.1687,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,82.29,96.18,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1993,707.8189,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,70.83,96.18,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1994,395.06174,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,32.64,84.72,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1995,502.05762,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,96.88,87.15,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1996,518.5185,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1997,502.05762,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,100.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,European shag,Phalacrocorax aristotelis,Jun-Jul,1998,617.28394,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,96.88,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1986,13571.429,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,87.84,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1987,11596.639,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,82.07,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1988,11134.454,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,46.81,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1989,12647.059,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,98.78,69.60,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1990,12605.042,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,97.57,31.00,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1991,11302.521,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,65.65,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1992,11428.571,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,46.50,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1993,12352.941,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,17.63,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1994,13781.513,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,99.70,13.98,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1995,15294.117,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,79.94,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1996,14453.781,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,44.07,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1997,17100.84,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,100.00,79.33,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,common guillemot,Uria aalge,Jun-Jul,1998,17352.941,population size,"% Rindorf et al 2000 Figure 6, # Figure 5",Isle of May,North Sea,,99.70,21.58,unknown,age is the % of total sandeels that were 1+ group sandeel
,,black leg kittiwake,Rissa tridactyla,,1986,4709.3022,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1987,6697.6743,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1988,7604.6514,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1989,7569.7676,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1990,8127.9067,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1991,6488.372,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1992,6906.9766,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1993,6976.744,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1994,3767.442,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1995,7604.6514,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1996,6244.186,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1997,6523.256,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1998,4290.6978,population size,Rindorf et al 2000 Figure 5,Isle of May,North Sea,,,,,
,,razorbill,Alca torda,,1988,0.97894734,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1989,1.1178948,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1990,1.03,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1991,0.87789476,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1992,1.0831579,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1993,1.0736842,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1994,0.99473685,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1995,1.2347368,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1996,1.1273685,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1997,1.1273685,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1998,1.1652632,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,1999,1.1305263,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2000,0.46421054,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2001,1.2378948,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2002,1.0989474,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2003,1.231579,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2004,0.99157894,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2005,1.0642105,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2006,0.9031579,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2007,1.0989474,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2008,1.14,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
,,razorbill,Alca torda,,2009,0.9505263,index,Cook et al 2014 Figure 5,JNCC sites in UK and Ireland,North Sea,,,,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1968,,,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,Farne Islands,North Sea,,,56.00,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1969,,,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,Farne Islands,North Sea,,,56.00,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1970,,,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,Farne Islands,North Sea,,,56.00,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1971,,,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,Farne Islands,North Sea,,,56.00,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1972,,,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,Farne Islands,North Sea,,,56.00,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1973,,,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,Farne Islands,North Sea,,,56.00,,
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,Feb-Apr,1968,96,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,13.00,"adults, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,Feb-Apr,1969,90,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,13.00,"adults, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,Feb-Apr,1970,98,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,13.00,"adults, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,Feb-Apr,1971,84,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,13.00,"adults, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,Feb-Apr,1972,86,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,13.00,"adults, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,Feb-Apr,1973,79,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,13.00,"adults, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1968,96,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,66.00,"chicks, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1969,90,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,66.00,"chicks, by weight",
