"stockid","stocklong","region","area","location","species","comm_name","type","theta","theta_lo","theta_hi","theta_inf"
"AFPENWCAPE","African penguin W Cape (pairs)","Benguela Current","Benguela Current","W Cape","Spheniscus demersus","African penguin","birds",0.13928094358139,-0.815944093366147,1.09450598052893,"none"
"ALBANATL","Albacore tuna North Atlantic","Atlantic Ocean","Atlantic Ocean","Northern Atlantic","Thunnus alalunga","Albacore tuna","fish",-0.0154629151142001,-0.0571037828246244,0.0261779525962242,"none"
"ALBANPAC","Albacore tuna North Pacific","Pacific Ocean","Pacific Ocean","North Pacific Ocean","Thunnus alalunga","Albacore tuna","fish",0.0749345066408225,-0.0569511036791201,0.206820116960765,"none"
"APUFFHERNYKEN","Atlantic puffin Hernyken (apparently occupied burrows)","Norwegian Sea","Norwegian Sea","Hernyken","Fratercula arctica","Atlantic puffin","birds",-0.183527414679046,-0.614936167806834,0.247881338448743,"none"
"ARCTERFOULA","Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Sterna paradisaea","Arctic tern","birds",1.54780339060037,0.265377648065087,2.83022913313566,"positive"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","Atheresthes stomias","Arrowtooth flounder","fish",0.264911325417506,0.0290537289363595,0.500768921898652,"positive"
"BLACKROCKCAL","Black rockfish California","USA/Canada West","US West Coast","California","Sebastes melanops","Black rockfish","fish",-0.127561689806255,-0.332667431372129,0.0775440517596187,"none"
"BLUEFISHATLC","Bluefish Atlantic Coast","USA/Canada East","US East Coast","Atlantic Coast","Pomatomus saltatrix","Bluefish","fish",-0.032523728290693,-0.203624711006415,0.138577254425029,"none"
"BRACORFIF","Brandt cormorant Gulf of Farallon Islands [nests (total)]","NE Pacific","California","Gulf of Farallon Islands","Phalacrocorax penicillatus","Brandt cormorant","birds",1.32075523132272,-0.643585034611123,3.28509549725656,"none"
"BRACORFIS","Brandt cormorant South Farallon Island [breeding adults]","NE Pacific","California","South Farallon Island","Phalacrocorax penicillatus","Brandt cormorant","birds",-1.382004772405,-2.63685855104535,-0.127150993764657,"negative"
"CGANNETWCAPE","Cape gannet W Cape (pairs)","Benguela Current","Benguela Current","W Cape","Morus capensis","Cape gannet","birds",1.2121858101588,0.655925302312897,1.7684463180047,"positive"
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","Humboldt Current","South America","Chilean EEZ and offshore","Trachurus murphyi","Chilean jack mackerel","fish",-0.187120868519388,-0.409878836206051,0.0356370991672754,"none"
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","Scomber japonicus","Pacific chub mackerel","fish",-0.324542685871478,-2.74672078749899,2.09763541575603,"none"
"COD3M","Atlantic cod NAFO 3M","USA/Canada East","Canada East Coast","Flemish Cap","Gadus morhua","Atlantic cod","fish",-0.342428924721259,-0.983676007618369,0.298818158175852,"none"
"COD3NO","Atlantic cod NAFO 3NO","USA/Canada East","Canada East Coast","Southern Grand Banks","Gadus morhua","Atlantic cod","fish",-1.74810701639987,-3.20840732648567,-0.287806706314057,"negative"
"COD3Pn4RS","Atlantic cod NAFO 3Pn4RS","USA/Canada East","Canada East Coast","Northern Gulf of St. Lawrence","Gadus morhua","Atlantic cod","fish",0.102681465985265,-0.0217959446234835,0.227158876594013,"none"
"COD3Ps","Atlantic cod NAFO 3Ps","USA/Canada East","Canada East Coast","St. Pierre Bank","Gadus morhua","Atlantic cod","fish",-0.0552466534201152,-0.569427184011645,0.458933877171415,"none"
"COD4TVn","Atlantic cod NAFO 4TVn","USA/Canada East","Canada East Coast","Southern Gulf of St. Lawrence","Gadus morhua","Atlantic cod","fish",0.2115219130357,0.0484629951180721,0.374580830953328,"positive"
"COMGUIFIUU","Common guillemot UU Colony, Farallons Island [population index]","NE Pacific","California","UU Colony, Farallons Island","Uria aalge","Common guillemot","birds",0.840336294885973,-0.319341225126243,2.00001381489819,"none"
"GSEALSABLEISL","Grey seal Sable Islands [pup production]","NW Atlantic","NW Atlantic","Sable Islands","Halichoerus grypus","Grey seal","mammals",-0.280360144882806,-0.797773121965731,0.237052832200119,"none"
"GUACORPERU","Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Phalacrocorax bougainvillii","Guanay cormorant","birds",-1.07657528123586,-1.30800357758377,-0.845146984887959,"negative"
"HAKENRTN","Hake Northeast Atlantic North","Europe","European Union","IIIa-IV-VI-VII-VIIIabd","Merluccius merluccius","European hake","fish",0.00427594385985103,-0.102285394421939,0.110837282141641,"none"
