comm_name,species
Albacore tuna,Thunnus alalunga
Arctic loon,Gavia arctica
Arrowtooth flounder,Atheresthes stomias
Atlantic bluefin tuna,Thunnus thynnus
Atlantic bottlenose dolphin,Tursiops truncatus
Atlantic cod,Gadus morhua
Atlantic croaker,Micropogonias undulatus
Atlantic halibut,Hippoglossus hippoglossus
Atlantic herring,Clupea harengus
Atlantic mackerel,Scomber scombrus
Atlantic menhaden,Brevoortia tyrannus
Atlantic sea raven,Hemitripterus americanus
Atlantic sharpnose shark,Rhizoprionodon terraenovae
Atlantic white-sided dolphin,Lagenorhynchus acutus
Atlantic wreckfish,Polyprion americanus
Barndoor skate,Dipturus laevis
Barrelfish,Hyperoglyphe perciformis
Bigeye thresher shark,Alopias superciliosus
Bigeye tuna,Thunnus obesus
Black rockfish,Sebastes melanops
Black sea bass,Centropristis striata
Black-legged kittiwake,Rissa tridactyla
Black-vented shearwater,Puffinus opisthomelas
Blacktip shark,Carcharhinus limbatus
Blue marlin,Makaira nigricans
Blue shark,Prionace glauca
Bluefish,Pomatomus saltatrix
Bonaparte's gull,Larus philadelphia
Brandt cormorant,Phalacrocorax penicillatus
Brown pelican,Pelecanus occidentalis
California brown pelican,Pelecanus occidentalis californicus
California gull,Larus californicus
California halibut,Paralichthys californicus
California market squid,Doryteuthis opalescens
California sea lion,Zalophus californianus
Chinook salmon,Oncorhynchus tshawytscha
Coho salmon,Oncorhynchus kisutch
Common and bigeye thresher sharks,Alopias spp.
Common guillemot,Uria aalge
Common thresher shark,Alopias vulpinus
Curlfin sole,Pleuronichthys decurrens
Cutthroat trout,Oncorhynchus clarkii
Dall's porpoise,Phocoenoides dalli
Dolphinfish,Coryphaena hippurus
Dusky shark,Carcharhinus obscurus
Elegant tern,Thalasseus elegans
Fin whale,Balaenoptera physalus
Finetooth shark,Carcharhinus isodon
Fourspot flounder,Hippoglossina oblonga
Glaucous-winged gull,Larus glaucescens
Goosefish,Lophius americanus
Grey seal,Halichoerus grypus
Gulf menhaden,Brevoortia patronus
Haddock,Melanogrammus aeglefinus
Harbor porpoise,Phocoena phocoena
Heermann gull,Larus heermanni
Hooded seal,Cystophora cristata
Humboldt squid,Dosidicus gigas
Humpback whale,Megaptera novaeangliae
Indo-pacific blue marlin,Makaira mazara
Indo-Pacific sailfish,Istiophorus platypterus
Jack mackerel,Trachurus symmetricus
Lingcod,Ophiodon elongatus
Little skate,Leucoraja erinacea
Long-beaked common dolphin,Delphinus capensis
Long-finned and short-finned pilot whales,Globicephala spp.
Long-finned pilot whale,Globicephala melas
Longbill spearfish,Tetrapturus pfluegeri
Longfin inshore squid,Doryteuthis pealeii
Mew gull,Larus canus
Night shark,Carcharhinus signatus
Northern anchovy,Engraulis mordax
Northern fulmar,Fulmarus glacialis
Northern fur seal,Callorhinus ursinus
Northern shortfin squid,Illex illecebrosus
Offshore hake,Merluccius albidus
Osprey,Pandion haliaetus
Pacific bluefin tuna,Thunnus orientalis
Eastern Pacific bonito,Sarda chiliensis
Pacific chub mackerel,Scomber japonicus
Pacific hake,Merluccius productus
Pacific harbor seal,Phoca vitulina richardsi
Pacific herring,Clupea pallasii pallasii
Pacific sanddab,Citharichthys sordidus
Pacific sardine,Sardinops sagax
Pacific saury,Cololabis saira
Pacific white-sided dolphin,Lagenorhynchus obliquidens
Pink-footed shearwater,Puffinus creatopus
Pollock,Pollachius virens
Porbeagle shark,Lamna nasus
Red drum,Sciaenops ocellatus
Red hake,Urophycis chuss
Rhinoceros auklet,Cerorhinca monocerata
Sablefish,Anoplopoma fimbria
Sandbar shark,Carcharhinus plumbeus
Scup,Stenotomus chrysops
Short-beaked common dolphin,Delphinus delphis
Short-tailed shearwater,Ardenna tenuirostris
Shortfin mako shark,Isurus oxyrinchus
Shortspine thornyhead,Sebastolobus alascanus
Silky shark,Carcharhinus falciformis
Silver hake,Merluccius bilinearis
Silvery John dory,Zenopsis conchifer
Smooth dogfish,Mustelus canis
Smooth hammerhead shark,Sphyrna zygaena
Sooty shearwater,Ardenna grisea
Soupfin shark,Galeorhinus galeus
Spinner shark,Carcharhinus brevipinna
Spiny dogfish,Squalus acanthias
Spotted hake,Urophycis regia
Spotted spiny dogfish,Squalus suckleyi
Steller sea lion,Eumetopias jubatus
Striped bass,Morone saxatilis
Striped marlin,Kajikia audax
Summer flounder,Paralichthys dentatus
Swordfish,Xiphias gladius
Thorny skate,Amblyraja radiata
Weakfish,Cynoscion regalis
Western Atlantic harbor seal,Phoca vitulina concolor
Western gull,Larus occidentalis
White hake,Urophycis tenuis
White marlin,Kajikia albida
Widow rockfish,Sebastes entomelas
Winter skate,Leucoraja ocellata
Xantus's murrellet,Synthliboramphus hypoleucus
Yellowfin tuna,Thunnus albacares
Yellowtail rockfish,Sebastes flavidus
