Prey,Predator,Predator_type,Predator_stage_or_Length,Predator_stage,abundance_data,year_diet_data_from,month_diet_data_from,name of month NB,year_diet_data_to,month_diet_data_to,name of month NB,season of diet data NB,season of diet data with no NA NB,range of diet data years NB,N_samples,prey_size_mm_min,prey_size_mm_max,prey size range NB,prey size range.mm pasted NB,prey_size_mm_mean,prey_size_mm_sd,prey_size_mm_median,Comment,Measurement_Method,proportion_diet_fracN_mean,proportion_diet_fracW_mean,W_or_Vol,Energetic_contributionfrac,IRI,fracFO,fracFO_SD,Area,Larger_area,Method,Reference
Pacific sardine,Black-vented Shearwater ,sea birds,adult,adult,NO,,,,,,,,,0,,80,100,80-100,80-100,,,,,,,,,,,10,,NavidadIs,MEX,regurgitated pellets,Keittetal2000
Pacific sardine,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2002,7,Jul,2002,7,Jul,Jul,Jul,2002,14,,,#NAME?,,,,,,,,,,,,0,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2003,3,Mar,2003,10,Oct,Mar-Oct,Mar-Oct,2003,75,,,#NAME?,,,,,,,,,,,,59.7,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2004,3,Mar,2004,3,Mar,Mar,Mar,2004,56,,,#NAME?,,,,,,,,,,,,66.1,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2005,3,Mar,2005,4,Apr,Mar-Apr,Mar-Apr,2005,6,,,#NAME?,,,,,,,,,,,,0,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2006,2,Feb,2006,7,Jul,Feb-Jul,Feb-Jul,2006,27,,,#NAME?,,,,,,,,,,,,14.8,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2002,,#N/A,2006,,#N/A,#N/A,,2002-2006,,57,207,57-207,57-207,,,127,Size of prey is refered to all samples from 2002-2006,otolith length_standard length regressions ,,,,,,,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,adult-female,adult,YES,2002,7,Jul,2002,7,Jul,Jul,Jul,2002,94,,,#NAME?,,,,,,,,,,,,33,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,adult-female,adult,YES,2003,3,Mar,2003,10,Oct,Mar-Oct,Mar-Oct,2003,98,,,#NAME?,,,,,,,,,,,,61.2,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,adult-female,adult,YES,2004,3,Mar,2004,3,Mar,Mar,Mar,2004,35,,,#NAME?,,,,,,,,,,,,80,,CA,CA,fecal samples,Orretal2011
