Predator,Importance,ImportanceMean,Prey,PreyInAbund,Predator_type,Region,PredName
Black-vented Shearwater  adult NavidadIs,10,10,Pacific sardine,Pacific sardine Pacific Coast,sea birds,NavidadIs,Black-vented Shearwater 
Blue shark  BajaCal,29.5,10.86,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,BajaCal,Blue shark
Blue shark  CA_OR_WA,0.51,0.51,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,CA_OR_WA,Blue shark
Blue shark  OR_WA,100,100,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,OR_WA,Blue shark
Brandt cormorant  MonterreyBay,4.7,3.15,Pacific sardine,Pacific sardine Pacific Coast,sea birds,MonterreyBay,Brandt cormorant
CA Sea Lion  GOC,6.8,6.8,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,GOC,CA Sea Lion
CA Sea Lion  SanClementeIs,4.7,4.7,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,SanClementeIs,CA Sea Lion
CA Sea Lion  SanNicolasIs,12.4,12.4,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,SanNicolasIs,CA Sea Lion
CA Sea Lion  StaBarbaraIs,9.9,9.9,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,StaBarbaraIs,CA Sea Lion
CA Sea Lion adult CA,80,58.9,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,CA,CA Sea Lion
CA Sea Lion juvenile CA,66.1,28.12,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,CA,CA Sea Lion
CABrown pelican  GOC,93,34,Pacific sardine,Pacific sardine Pacific Coast,sea birds,GOC,CABrown pelican
Coho salmon adult CA_OR,4,4,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,CA_OR,Coho salmon
Coho salmon adult NeahBay,5.3,5.3,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,NeahBay,Coho salmon
Coho salmon adult OR_WA,100,83.3,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OR_WA,Coho salmon
Coho salmon adult WestPort,39.2,19.74111111,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,WestPort,Coho salmon
Coho salmon juvenile OR_WA,57.9,51.15,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OR_WA,Coho salmon
Common thresher shark  CA_OR,12.76,8.365,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,CA_OR,Common thresher shark
Common thresher shark  CA_OR_WA,31.38,31.38,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,CA_OR_WA,Common thresher shark
Elegant tern  LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,88.9,10.82789474,Pacific sardine,Pacific sardine Pacific Coast,sea birds,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,Elegant tern
Harbor porpoise  MonterreyBay,11.03,6.42,Pacific sardine,Pacific sardine Pacific Coast,cetaceans,MonterreyBay,Harbor porpoise
Heermann gull  GOC,77,28.2,Pacific sardine,Pacific sardine Pacific Coast,sea birds,GOC,Heermann gull
Humboldt_jumbo_squid   CA_OR_WA,5,2.85,Pacific sardine,Pacific sardine Pacific Coast,invertebrates,CA_OR_WA,Humboldt_jumbo_squid 
Humboldt_jumbo_squid   GOC,80,37.18571429,Pacific sardine,Pacific sardine Pacific Coast,invertebrates,GOC,Humboldt_jumbo_squid 
Humpback whale  CA,76.1,51.4,Pacific sardine,Pacific sardine Pacific Coast,cetaceans,CA,Humpback whale
Indo-pacific blue marlin  BajaCal,4.49,2.605,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,BajaCal,Indo-pacific blue marlin
Jack mackerel  OffColumbiaRiver,7.8,7.8,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OffColumbiaRiver,Jack mackerel
Jack mackerel  OR_WA,69.2,69.2,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OR_WA,Jack mackerel
Long-beaked common dolphin  CA,34.38,34.38,Pacific sardine,Pacific sardine Pacific Coast,cetaceans,CA,Long-beaked common dolphin
North pacific albacora  CA,0.4,0.4,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,CA,North pacific albacora
North pacific albacora  CA_OR_WA_BC,2.1,2.1,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,CA_OR_WA_BC,North pacific albacora
North pacific albacora  OR_WA_BC,2.8,2.8,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OR_WA_BC,North pacific albacora
North pacific albacora  SouthCA,12.7,12.7,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,SouthCA,North pacific albacora
Northern fur seal  BC,20,20,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,BC,Northern fur seal
Pacific hake  OffColumbiaRiver,1.1,0.7,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OffColumbiaRiver,Pacific hake
Pacific hake  OR_WA,75,37.7,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,OR_WA,Pacific hake
Pacific harbor seal  DraytonHarbor_EasternBays,0,0,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,DraytonHarbor_EasternBays,Pacific harbor seal
Pacific harbor seal  PadillaBay_EasternBays,2.3,2.3,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,PadillaBay_EasternBays,Pacific harbor seal
Pacific harbor seal  UmpquaRiver,17.9,11.33333333,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,UmpquaRiver,Pacific harbor seal
Short-beaked common dolphin  CA,20,20,Pacific sardine,Pacific sardine Pacific Coast,cetaceans,CA,Short-beaked common dolphin
Shortfin mako shark  CA_OR_WA,2.11,2.11,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,CA_OR_WA,Shortfin mako shark
Smooth Hammershead shark  Female BajaCal,0.04,0.04,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,BajaCal,Smooth Hammershead shark 
Smooth Hammershead shark  juvenile BajaCal,0.09,0.09,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,BajaCal,Smooth Hammershead shark 
