"type","class","order","family","genus","species","species_sub","comm_name"
"birds","Aves","Charadriiformes","Alcidae","Alca","Alca torda","Alca torda","Razorbill"
"birds","Aves","Charadriiformes","Alcidae","Cepphus","Cepphus grylle","Cepphus grylle","Black guillemot"
"birds","Aves","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula arctica","Atlantic puffin"
"birds","Aves","Ciconiiformes","Procellariidae","Fulmarus","Fulmarus glacialis","Fulmarus glacialis","Northern fulmar"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus argentatus","Larus argentatus","European herring gull"
"birds","Aves","Ciconiiformes","Laridae","Larus","Larus marinus","Larus marinus","Great black-backed gull"
"birds","Aves","Ciconiiformes","Sulidae","Morus","Morus bassanus","Morus bassanus","Northern gannet"
"birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus","Pelecanus thagus","Pelecanus thagus","Peruvian pelican"
"birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax aristotelis","Phalacrocorax aristotelis","European shag"
"birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax bougainvillii","Phalacrocorax bougainvillii","Guanay cormorant"
"birds","Aves","Ciconiiformes","Laridae","Rissa","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake"
"birds","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus","Stercorarius parasiticus","Arctic skua"
"birds","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius skua","Stercorarius skua","Great skua"
"birds","Aves","Ciconiiformes","Laridae","Sterna","Sterna paradisaea","Sterna paradisaea","Arctic tern"
"birds","Aves","Ciconiiformes","Sulidae","Sula","Sula variegata","Sula variegata","Peruvian booby"
"birds","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Uria aalge","Common guillemot"
"fish","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Ammodytes marinus","Lesser sand-eel"
"fish","Actinopterygii","Perciformes","Ammodytidae",NA,"Ammodytidae spp.","Ammodytidae spp.","Sandeel spp."
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Atlantic herring"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus (spring spawning)","Atlantic herring (spring spawning)"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Engraulis ringens","Peruvian anchoveta"
"fish","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","Eutrigla gurnardus","Grey gurnard"
"fish","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod"
"fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Megrim"
"fish","Malacostraca","Decapoda","Majidae",NA,"Majidae spp.","Majidae spp.","Large crabs"
"fish","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Mallotus villosus","Capelin"
"fish","Actinopterygii","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Merlangius merlangus","Whiting"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Merluccius merluccius","European hake"
"fish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting"
"fish","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock"
"fish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda chiliensis","Sarda chiliensis","Eastern Pacific bonito"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Pacific chub mackerel"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber scombrus","Scomber scombrus","Atlantic mackerel"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","European sprat"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus murphyi","Trachurus murphyi","Chilean jack mackerel"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trachurus","Trachurus trachurus","Horse mackerel"
"fish","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Trisopterus esmarkii","Norway pout"
"mammals","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata","Balaenoptera acutorostrata","Common minke whale"
"mammals","Mammalia","Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus","Pagophilus groenlandicus","Harp seal"
